"year","ff203a","ff203b","ff207a","ff207b","ff222a","ff222b","ff225a","ff225b","ff251a","ff253a","ff253c","ff256a","ff256b","ff259a","ff259b"
977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0336983328645,1.05323395342447
978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00913045758475,0.989470890556298
979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950490964565144,0.867001984864199
980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01451495595403,0.928602077930275
981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00392244718592,0.908696079418942
982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05559685125667,1.03961949587048
983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03920616176179,1.02201893274658
984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.923568289877823,0.802993143287711
985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93022422918805,0.691632590957537
986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982388496747159,0.936782999209643
987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02785016392746,0.938327582192089
988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962718912574483,0.85758255568359
989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04221449074229,0.97139216223809
990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1143221305251,1.16189503269523
991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04480683754991,1.16599691286313
992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02826985047908,1.13693570172348
993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95466110717242,0.848272104209452
994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03681117869669,1.13905643589028
995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957655974912512,1.01964366741047
996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02851326933746,1.04770347024739
997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03418827714084,1.13569698971053
998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0570310154622,1.18977585338662
999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06415363894056,1.15813213417084
1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10500622552766,1.21031812137576
1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06361374079269,1.1057633692416
1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05853067856727,1.04532344615777
1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03314116375677,1.04080034320721
1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02544534124607,1.06864563972054
1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990465337360871,1.0807580139019
1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996171025046681,0.999519948010921
